日期,公司派彩,有效投注,總投注,彩金,彩池貢獻,入款筆數,總入款,出款筆數,總出款,反水&活動,下注人數,新增會員,新增有效會員,新增存款會員
2022/4/1,7329300.76,238436791.9,249235353.8,13020,0,5268,25061956,820,18341576,-1609532,6706,403,118,121
2022/4/2,5669268.13,240045456.8,254751662.9,13205,0,4491,19478368,733,14790153,-1325270,6719,411,103,107
2022/4/3,9421637.3,240175077.4,257580914.1,14140,0,4150,18638948,692,12499993,-1394122,5607,322,82,85
2022/4/4,7343615.43,236566485.8,254021516.3,10095,0,4335,18703615,678,12379761,-1518070,6737,429,105,102
2022/4/5,7382599.23,220607573.7,234629035.4,10810,0,4620,19614456,675,13139405,-2210837,7011,449,111,123
2022/4/6,4494313.87,295457608.5,316320386.4,12625,0,5215,20817495,735,17193442,-1370851,6989,423,117,123
2022/4/7,10256422.3,270344071.6,288476876.8,13875,0,4936,21309983,679,11732816,-1864639,6825,405,96,96
2022/4/8,7582945.73,241916345.9,256916227.1,16110,0,5197,21807949,789,15229915,-1655476,6733,460,118,133
2022/4/9,6989915.32,222587557.2,234545632.4,18100,0,4864,18731118,791,12797730,-1346119,6591,420,109,102
2022/4/10,2563779.04,230069724.2,242782653.5,16565,0,4343,17418067,723,14258383,-1314857,5535,337,84,85
2022/4/11,7820903.06,248436493.5,262176164.2,13920,0,5253,21003412,750,14027221,-1392851,6852,368,79,89
2022/4/12,5413910.46,241707448.6,256844018.2,14340,0,5023,19940464,767,16352282,-1962709,6989,406,113,124
2022/4/13,5241468.64,243669380,257058722.8,12695,0,5028,21463409,817,20290008,-1411467,7131,413,131,130
2022/4/14,6482747.72,236386519.1,248643617.3,15100,0,4864,19386514,864,17009900,-1395840,7101,441,140,138
2022/4/15,78737.53,210669325.2,220257350.9,14975,0,5326,21420874,895,17347480,-1356221,7254,439,131,133
2022/4/16,8392579.26,186973452,196309805,12855,0,4823,17684934,795,15733445,-1191463,7258,389,111,111
2022/4/17,5146295.64,200009781.5,211217858,12415,0,4162,16267757,734,14121520,-1105102,5843,262,61,73
2022/4/18,5595786.04,245139969.3,259895549.7,10495,0,4814,20130099,803,16251422,-1217298,7020,385,92,97
2022/4/19,6045025.03,229897289.9,244258631.7,10385,0,4785,19921169,788,15109815,-1911641,7353,428,142,140
2022/4/20,8791875.88,196082811.6,205491995.7,8720,0,4848,18247043,785,14055572,-1320252,7159,360,92,102
2022/4/21,6221582.46,197672425.8,207788954.9,10820,0,4958,19020095,787,11804588,-1169799,7076,422,124,128
2022/4/22,5632210.09,196985173.9,207679913.2,11520,0,4820,16946172,811,14566357,-1220081,7233,376,117,125
2022/4/23,2785120.41,192781170.9,203495310.5,10320,0,4384,17196330,852,13049434,-1158070,6859,333,75,85
2022/4/24,7816353.82,200999597.5,211609120.3,15230,0,3796,16399198,658,13338259,-1185187,5800,275,74,63
2022/4/25,7264404.98,221231627.4,232259068.6,21255,0,4654,18185008,720,11971980,-1285260,7066,358,109,109
2022/4/26,7303629.23,215775608,229684432.9,12675,0,4445,17848927,705,12350782,-1685324,7222,392,109,124
2022/4/27,6963585.85,191828105.4,202054269,11755,0,4393,17422617,691,13920096,-1325678,7165,359,99,92
2022/4/28,7766881.07,170798297.9,180354850.7,9210,0,4348,16155278,626,9594561,-1169180,7067,339,74,87
2022/4/29,5336464.06,175816350.4,184626169.5,11910,0,4525,15866869,724,12521947,-1034726,7062,319,80,89
2022/4/30,5374414.18,227870925.8,241010607.1,12225,0,4535,21004191,758,14833460,-1046593,6970,285,86,87
2022/5/1,8861131.89,233733364.2,247381538.3,11940,0,3929,20162617,699,15416982,-2386610,5802,260,76,72
2022/5/2,3177337.63,215142294.3,227714618.7,12045,0,4446,19866218,701,14005338,-1487417,6871,371,94,104
2022/5/3,9524658.28,252619995,267936337.1,11870,0,4985,22239318,818,16955334,-1662251,7021,342,87,98
2022/5/4,8953227.03,201284416.2,213153620.5,12005,0,5020,20117410,759,11817291,-1598259,7030,376,99,117
2022/5/5,9584726.16,229857249.2,241875351.7,11645,0,5689,22292169,876,15919512,-1277598,7553,409,119,127
2022/5/6,8405127.36,238655528.6,252656721.8,12495,0,5778,22341359,858,14587305,-1346405,7971,329,83,92
2022/5/7,7105120.49,215376005.3,226369567.8,14995,0,5137,19844949,784,14020636,-1404831,7658,355,100,101
2022/5/8,7518560.64,218853096.4,229429832.5,13705,0,4272,18379860,698,14104115,-1355185,6379,247,75,74
2022/5/9,8848144.76,231389549.6,243853342.6,13525,0,5499,23666123,816,15723840,-1404503,7835,344,116,107
2022/5/10,10476226.53,243022422.3,255099238.3,15330,0,6149,25818126,923,16474526,-1692640,8205,398,125,143
2022/5/11,6955651.66,237697009.3,251016089.7,12340,0,5597,22028558,913,15836040,-1425272,8003,362,97,106
2022/5/12,13754061.75,245551535.3,261163498.4,14025,0,5615,23559159,896,15287863,-1372879,7865,395,113,124
2022/5/13,7303446.64,235931262,248826440,16905,0,5559,23321327,931,17663741,-1419639,8037,346,92,96
2022/5/14,6301265.42,217416137.3,229102150.3,19355,0,5018,18860398,852,14407565,-1353090,7595,367,94,98
2022/5/15,7728469.79,187849230.3,197906815.7,12855,0,4369,17295966,720,11757924,-1356551,6210,281,66,68
2022/5/16,-2366167.29,183522850.9,195234818.9,44080,0,4124,15972138,784,18296247,-1194866,6861,318,62,59
2022/5/17,5685276.34,202490615.9,215948873,14075,0,4986,18245123,847,14931980,-1404845,7602,360,81,100
2022/5/18,7806557.25,215387213.1,227745850.6,12550,0,5082,20268608,816,14688791,-1238414,7540,376,88,101
2022/5/19,6022489.35,217021217.5,228554640.2,13725,0,4986,20095859,823,14282526,-1305438,7465,329,83,98
2022/5/20,7688277.14,203799243.3,215821873.4,13990,0,5444,21758578,813,15063405,-1282098,7570,328,83,89
2022/5/21,9983342.71,182600875.3,192396736.9,13470,0,4764,15628167,767,10679425,-1225834,7446,381,105,109
2022/5/22,5140820.23,178776785.5,189289110.5,11465,0,4159,16046620,684,10002280,-1208527,6149,239,64,66
2022/5/23,8211248.46,199564908.3,209646679,12850,0,4911,18712736,796,12851367,-1166424,7405,343,88,76
2022/5/24,5652071.53,175184910,183214842.7,11190,0,4588,17635640,718,13456072,-1404717,7344,337,76,89
2022/5/25,7794153.18,199501790,209576678.2,12670,0,4699,17896900,739,13702274,-1139368,7168,321,80,79
2022/5/26,8964403.73,181039102.2,189803233,10425,0,4386,17591316,663,10847229,-1239417,6998,360,76,87
2022/5/27,7505857.74,169772220.6,176242088.4,11040,0,4980,18147983,690,12331525,-1187722,7354,352,92,93
2022/5/28,6871281.66,162731020.1,170517653.3,8765,0,4211,14847114,682,10547353,-1066380,7000,325,94,86
2022/5/29,2769966.05,152318548,160834864,10055,0,3563,13551680,591,11019167,-1096497,5686,215,61,56
2022/5/30,7130038.7,179444849.7,187902743.4,11690,0,4140,15159404,633,10694684,-1036582,7092,288,61,65
2022/5/31,3934358.39,176592791.5,187150986.4,11660,0,4301,18315384,702,14622341,-1299373,7024,237,72,82
2022/6/1,7877506.04,248230281.1,265210594.3,10825,0,4620,22736317,815,16633958,-2610367,7498,251,63,64
2022/6/2,8408624.44,209883370.1,221342684.5,11555,0,4948,20600079,779,14268001,-1571412,7087,240,60,63
